,b'CALLS',b'\xc2\xa0',b'PUTS',b'Chart',b'OI',b'Chng in OI',b'Volume',b'IV',b'LTP',b'Net Chng',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Strike Price',b'BidQty',b'BidPrice',b'AskPrice',b'AskQty',b'Net Chng',b'LTP',b'IV',b'Volume',b'Chng in OI',b'OI',b'Chart'
59,b'264750',b'-10575',b'246',b'34.39',b'0.60',b'-0.05',b'4725',b'0.45',b'0.60',b'6675',b'12200.00',b'75',b'1327.95',b'1331.30',b'300',b'-110.15',b'1335.95',b'-',b'105',b'-2550',b'73875',,,,,
60,b'-',b'-',b'-',b'-',b'-',b'-',b'1800',b'0.05',b'1.90',b'750',b'12250.00',b'1050',b'1336.95',b'1540.15',b'1050',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
61,b'70425',b'-1650',b'70',b'35.07',b'0.40',b'-0.20',b'1050',b'0.40',b'0.65',b'525',b'12300.00',b'75',b'1429.35',b'1433.10',b'750',b'-47.70',b'1435.10',b'-',b'32',b'-825',b'16875',,,,,
62,b'-',b'-',b'-',b'-',b'-',b'-',b'1800',b'0.05',b'1.90',b'750',b'12350.00',b'7350',b'1112.10',b'1652.70',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
63,b'95325',b'-2625',b'148',b'37.90',b'0.50',b'-0.05',b'2100',b'0.50',b'0.65',b'525',b'12400.00',b'75',b'1506.40',b'1563.60',b'75',b'8.85',b'1608.85',b'81.96',b'1',b'-',b'8775',,,,,
64,b'75',b'75',b'1',b'43.79',b'1.50',b'-348.50',b'8625',b'0.05',b'2.40',b'6000',b'12450.00',b'7350',b'1511.30',b'1768.40',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
65,b'209925',b'-20175',b'1801',b'39.93',b'0.50',b'-0.05',b'9900',b'0.35',b'0.50',b'5175',b'12500.00',b'75',b'1634.55',b'1638.00',b'75',b'-109.10',b'1640.00',b'-',b'758',b'-45975',b'536775',,,,,
66,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.00',b'6000',b'12550.00',b'7350',b'1312.10',b'1871.55',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
67,b'24375',b'-',b'39',b'39.98',b'0.30',b'-0.15',b'1575',b'0.30',b'0.60',b'1500',b'12600.00',b'75',b'1694.60',b'1750.80',b'75',b'-',b'1250.00',b'-',b'-',b'-',b'450',,,,,
68,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.00',b'6000',b'12650.00',b'7350',b'1689.70',b'1976.85',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
69,b'3375',b'-',b'-',b'-',b'0.25',b'-',b'75',b'0.30',b'0.80',b'225',b'12700.00',b'75',b'1803.05',b'1949.25',b'75',b'-',b'1654.90',b'-',b'-',b'-',b'2325',,,,,
70,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.00',b'6000',b'12750.00',b'7350',b'1556.10',b'2109.30',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
71,b'5550',b'-',b'1',b'43.76',b'0.30',b'-0.45',b'1575',b'0.30',b'0.95',b'225',b'12800.00',b'75',b'1892.45',b'1951.55',b'75',b'-130.05',b'1939.95',b'-',b'3',b'-',b'1275',,,,,
72,b'75',b'-',b'-',b'-',b'1.00',b'-',b'-',b'-',b'2.00',b'6000',b'12850.00',b'7350',b'1656.10',b'2213.25',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
73,b'450',b'-',b'3',b'44.06',b'0.20',b'-0.30',b'3000',b'0.20',b'0.95',b'225',b'12900.00',b'75',b'1956.25',b'2182.15',b'75',b'224.30',b'2074.20',b'81.38',b'1',b'-',b'450',,,,,
74,b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'-',b'2.00',b'6000',b'12950.00',b'7350',b'1960.10',b'2310.35',b'7350',b'-',b'-',b'-',b'-',b'-',b'-',,,,,
75,b'150975',b'-25500',b'1071',b'49.70',b'0.50',b'0.10',b'3975',b'0.35',b'0.50',b'2925',b'13000.00',b'75',b'2133.00',b'2139.35',b'75',b'-117.85',b'2134.00',b'-',b'749',b'-37950',b'610950',,,,,
